show_id,title,description,listed_in,rating,content,profile,release_year
s31,Ankahi Kahaniya,"As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.","Dramas, Independent Movies, International Movies",TV-14,"As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing. Dramas, Independent Movies, International Movies",1,2021
s32,Chicago Party Aunt,Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood â and a soft spot for her soul-searching nephew.,TV Comedies,TV-MA,Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood â and a soft spot for her soul-searching nephew. TV Comedies,0,2021
s33,Sex Education,"Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic.","British TV Shows, International TV Shows, TV Comedies",TV-MA,"Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic. British TV Shows, International TV Shows, TV Comedies",2,2020
s34,Squid Game,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits â with deadly high stakes.","International TV Shows, TV Dramas, TV Thrillers",TV-MA,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits â with deadly high stakes. International TV Shows, TV Dramas, TV Thrillers",2,2021
s35,Tayo and Little Wizards,Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.,Kids' TV,TV-Y7,Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone. Kids' TV,0,2020
s36,The Father Who Moves Mountains,"When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing â and risk everything â to find him.","Dramas, International Movies, Thrillers",TV-MA,"When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing â and risk everything â to find him. Dramas, International Movies, Thrillers",1,2021
s37,The Stronghold,"Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.","Action & Adventure, Dramas, International Movies",TV-MA,"Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask. Action & Adventure, Dramas, International Movies",3,2021
s38,Angry Birds,"Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal.","Kids' TV, TV Comedies",TV-Y7,"Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal. Kids' TV, TV Comedies",0,2018
s39,Birth of the Dragon,"A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events.","Action & Adventure, Dramas",PG-13,"A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events. Action & Adventure, Dramas",3,2017
s40,Chhota Bheem,"A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil.",Kids' TV,TV-Y7,"A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil. Kids' TV",0,2021
s41,He-Man and the Masters of the Universe,Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull â and their destiny to defend Eternia from sinister Skeletor.,"Kids' TV, TV Sci-Fi & Fantasy",TV-Y7,"Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull â and their destiny to defend Eternia from sinister Skeletor. Kids' TV, TV Sci-Fi & Fantasy",0,2021
s42,Jaws,"When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast.","Action & Adventure, Classic Movies, Dramas",PG,"When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast. Action & Adventure, Classic Movies, Dramas",3,1975
s43,Jaws 2,"Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white.","Dramas, Horror Movies, Thrillers",PG,"Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white. Dramas, Horror Movies, Thrillers",1,1978
s44,Jaws 3,"After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood.","Action & Adventure, Horror Movies, Thrillers",PG,"After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood. Action & Adventure, Horror Movies, Thrillers",3,1983
s45,Jaws: The Revenge,"After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean â but a great white shark follows her there.","Action & Adventure, Horror Movies, Thrillers",PG-13,"After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean â but a great white shark follows her there. Action & Adventure, Horror Movies, Thrillers",3,1987
s46,My Heroes Were Cowboys,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen.",Documentaries,PG,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen. Documentaries",0,2021
s47,Safe House,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.,Action & Adventure,R,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location. Action & Adventure,3,2012
s48,The Smart Money Woman,"Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel.","International TV Shows, Romantic TV Shows, TV Comedies",TV-MA,"Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel. International TV Shows, Romantic TV Shows, TV Comedies",2,2020
s49,Training Day,A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.,"Dramas, Thrillers",R,"A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice. Dramas, Thrillers",1,2001
s50,Castle and Castle,"A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage.","International TV Shows, TV Dramas",TV-MA,"A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage. International TV Shows, TV Dramas",2,2021
s51,Dharmakshetra,"After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains.","International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",TV-PG,"After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains. International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",2,2014
s52,InuYasha the Movie 2: The Castle Beyond the Looking Glass,"With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy.","Action & Adventure, Anime Features, International Movies",TV-14,"With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy. Action & Adventure, Anime Features, International Movies",3,2002
s53,InuYasha the Movie 3: Swords of an Honorable Ruler,The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.,"Action & Adventure, Anime Features, International Movies",TV-14,"The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened. Action & Adventure, Anime Features, International Movies",3,2003
s54,InuYasha the Movie 4: Fire on the Mystic Island,"Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo.","Action & Adventure, Anime Features, International Movies",TV-PG,"Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo. Action & Adventure, Anime Features, International Movies",3,2004
s55,InuYasha the Movie: Affections Touching Across Time,"A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy.","Action & Adventure, Anime Features, International Movies",TV-PG,"A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy. Action & Adventure, Anime Features, International Movies",3,2001
s56,Nailed It,"Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess.",Reality TV,TV-PG,"Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess. Reality TV",0,2021
s57,Naruto Shippuden the Movie: Blood Prison,"Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed.","Action & Adventure, Anime Features, International Movies",TV-14,"Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed. Action & Adventure, Anime Features, International Movies",3,2011
s58,Naruto ShippÃ»den the Movie: Bonds,"When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet.","Action & Adventure, Anime Features, International Movies",TV-PG,"When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet. Action & Adventure, Anime Features, International Movies",3,2008
s59,Naruto ShippÃ»den the Movie: The Will of Fire,"When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land.","Action & Adventure, Anime Features, International Movies",TV-PG,"When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land. Action & Adventure, Anime Features, International Movies",3,2009
s60,Naruto Shippuden: The Movie,"The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon â but to do so, he must die.","Action & Adventure, Anime Features, International Movies",TV-PG,"The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon â but to do so, he must die. Action & Adventure, Anime Features, International Movies",3,2007
s61,Naruto Shippuden: The Movie: The Lost Tower,"When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil.","Action & Adventure, Anime Features, International Movies",TV-14,"When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil. Action & Adventure, Anime Features, International Movies",3,2010
s62,Naruto the Movie 2: Legend of the Stone of Gelel,"While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin.","Action & Adventure, Anime Features, International Movies",TV-PG,"While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin. Action & Adventure, Anime Features, International Movies",3,2005
s63,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,"Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom.","Action & Adventure, Anime Features, International Movies",TV-PG,"Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom. Action & Adventure, Anime Features, International Movies",3,2006
s64,Naruto the Movie: Ninja Clash in the Land of Snow,"Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess.","Action & Adventure, Anime Features, International Movies",TV-PG,"Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess. Action & Adventure, Anime Features, International Movies",3,2004
s65,Nightbooks,Scary story fan Alex must tell a spine-tingling tale every night â or stay trapped with his new friend in a wicked witch's magical apartment forever.,Children & Family Movies,TV-PG,Scary story fan Alex must tell a spine-tingling tale every night â or stay trapped with his new friend in a wicked witch's magical apartment forever. Children & Family Movies,0,2021
s66,Numberblocks,"In a place called Numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together.",Kids' TV,TV-Y,"In a place called Numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together. Kids' TV",0,2021
s67,Raja Rasoi Aur Anya Kahaniyan,"Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat.","Docuseries, International TV Shows",TV-G,"Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat. Docuseries, International TV Shows",0,2014
s68,Saved by the Bell,"From middle school to college, best friends Zack, Kelly, Slater, Jessie, Screech and Lisa take on the highs and lows of life together in this hit series.","Kids' TV, TV Comedies",TV-PG,"From middle school to college, best friends Zack, Kelly, Slater, Jessie, Screech and Lisa take on the highs and lows of life together in this hit series. Kids' TV, TV Comedies",0,1994
s69,Schumacher,"Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher.","Documentaries, International Movies, Sports Movies",TV-14,"Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher. Documentaries, International Movies, Sports Movies",0,2021
s70,Stories by Rabindranath Tagore,The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal.,"International TV Shows, TV Dramas",TV-PG,"The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal. International TV Shows, TV Dramas",2,2015
s71,Too Hot To Handle: Latino,"On this reality show, singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000.","International TV Shows, Reality TV, Romantic TV Shows",TV-MA,"On this reality show, singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000. International TV Shows, Reality TV, Romantic TV Shows",2,2021
s72,A StoryBots Space Adventure,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.,Children & Family Movies,TV-Y,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space. Children & Family Movies,0,2021
s73,Jack Whitehall: Travels with My Father,"Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond.","British TV Shows, Docuseries, International TV Shows",TV-MA,"Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond. British TV Shows, Docuseries, International TV Shows",2,2021
s74,King of Boys,"When a powerful businesswomanâs political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.","Dramas, International Movies",TV-MA,"When a powerful businesswomanâs political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything. Dramas, International Movies",1,2018
s75,The World's Most Amazing Vacation Rentals,"With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series.",Reality TV,TV-PG,"With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series. Reality TV",0,2021
s76,You vs. Wild: Out Cold,"After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure.",Children & Family Movies,TV-G,"After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure. Children & Family Movies",0,2021
s77,Yowamushi Pedal,"A timid, anime-loving teen gets drawn into a school cycling club, where his new friends help him face tough challenges to develop his racing talent.","Anime Series, International TV Shows",TV-14,"A timid, anime-loving teen gets drawn into a school cycling club, where his new friends help him face tough challenges to develop his racing talent. Anime Series, International TV Shows",0,2013
s78,Little Singham - Black Shadow,Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaalâs new evil plans! Can his inner strength help him defeat the enemy?,"Children & Family Movies, Comedies",TV-Y7,"Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaalâs new evil plans! Can his inner strength help him defeat the enemy? Children & Family Movies, Comedies",0,2021
s79,Tughlaq Durbar,A budding politician has devious plans to rise in the ranks â until an unexpected new presence begins to interfere with his every crooked move.,"Comedies, Dramas, International Movies",TV-14,"A budding politician has devious plans to rise in the ranks â until an unexpected new presence begins to interfere with his every crooked move. Comedies, Dramas, International Movies",1,2020
s80,Tughlaq Durbar (Telugu),A budding politician has devious plans to rise in the ranks â until an unexpected new presence begins to interfere with his every crooked move.,"Comedies, Dramas, International Movies",TV-14,"A budding politician has devious plans to rise in the ranks â until an unexpected new presence begins to interfere with his every crooked move. Comedies, Dramas, International Movies",1,2021
s81,Firedrake the Silver Dragon,"When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free.",Children & Family Movies,TV-Y7,"When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free. Children & Family Movies",0,2021
s82,Kate,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge.",Action & Adventure,R,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge. Action & Adventure",3,2021
s83,Lucifer,"Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective.","Crime TV Shows, TV Comedies, TV Dramas",TV-14,"Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective. Crime TV Shows, TV Comedies, TV Dramas",2,2021
s84,Metal Shop Masters,"On this competition show, a group of metal artists torch, cut and weld epic, badass creations from hardened steel. Only one will win a $50,000 prize.",Reality TV,TV-MA,"On this competition show, a group of metal artists torch, cut and weld epic, badass creations from hardened steel. Only one will win a $50,000 prize. Reality TV",0,2021
s85,Omo Ghetto: the Saga,"Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them.","Action & Adventure, Comedies, Dramas",TV-MA,"Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them. Action & Adventure, Comedies, Dramas",3,2020
s86,PokÃ©mon Master Journeys: The Series,"As Ash battles his way through the World Coronation Series, Goh continues his quest to catch every PokÃ©mon. Together, they're on a journey to adventure!","Anime Series, Kids' TV",TV-Y7,"As Ash battles his way through the World Coronation Series, Goh continues his quest to catch every PokÃ©mon. Together, they're on a journey to adventure! Anime Series, Kids' TV",0,2021
s87,Prey,A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.,"International Movies, Thrillers",TV-MA,"A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter. International Movies, Thrillers",1,2021
s88,Titipo Titipo,Titipo the train is out to prove that he's got what it takes to help the folks of Train Village ride the rails safely and reliably.,"Kids' TV, Korean TV Shows",TV-Y,"Titipo the train is out to prove that he's got what it takes to help the folks of Train Village ride the rails safely and reliably. Kids' TV, Korean TV Shows",2,2019
